=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.12.02 16:03:09 =~=~=~=~=~=~=~=~=~=~=~=
Waiting for GPS Fix
GPS Fix obtained at;15:03:09.000:000:000:;Date:2/12/2021
Coincidence;15:05:51.140:413:920:;
Coincidence;15:05:51.232:609:968:;
Coincidence;15:05:51.937:627:264:;
Coincidence;15:05:52.270:119:200:;
Coincidence;15:05:52.513:878:112:;
Coincidence;15:05:52.552:773:824:;
Coincidence;15:05:52.572:742:656:;
Coincidence;15:05:53.381:217:440:;
Coincidence;15:05:53.788:519:936:;
Coincidence;15:05:54.457:793:536:;
Coincidence;15:05:54.991:187:072:;
Coincidence;15:05:55.396:186:336:;
Coincidence;15:05:55.406:170:048:;
Coincidence;15:05:55.608:156:352:;
Coincidence;15:05:55.767:508:672:;
Coincidence;15:05:55.907:718:336:;
Coincidence;15:05:56.146:638:432:;
Coincidence;15:05:56.318:131:744:;
Coincidence;15:05:57.359:502:304:;
Coincidence;15:05:58.606:711:936:;
Coincidence;15:05:59.957:906:624:;
Coincidence;15:05:59.976:241:408:;
Coincidence;15:06:00.604:773:952:;
Coincidence;15:06:00.911:206:464:;
Coincidence;15:06:02.195:598:176:;
Coincidence;15:06:02.509:011:232:;
Coincidence;15:06:02.810:254:592:;
Coincidence;15:06:03.089:848:832:;
Coincidence;15:06:03.100:597:664:;
Coincidence;15:06:03.159:795:008:;
Coincidence;15:06:03.880:571:328:;
Coincidence;15:06:03.918:728:640:;
Coincidence;15:06:04.211:099:376:;
Coincidence;15:06:04.264:389:568:;
Coincidence;15:06:05.032:549:582:;
Coincidence;15:06:05.668:536:320:;
Coincidence;15:06:06.071:028:904:;
Coincidence;15:06:06.089:654:640:;
Coincidence;15:06:06.151:154:640:;
Coincidence;15:06:06.836:209:664:;
Coincidence;15:06:06.986:831:360:;
Coincidence;15:06:06.998:596:096:;
Coincidence;15:06:07.429:195:840:;
Coincidence;15:06:08.906:662:400:;
Coincidence;15:06:10.109:182:968:;
Coincidence;15:06:10.416:215:552:;
Coincidence;15:06:10.922:617:152:;
Coincidence;15:06:11.616:530:304:;
Coincidence;15:06:11.842:561:856:;
Coincidence;15:06:11.903:042:944:;
Coincidence;15:06:12.072:190:696:;
Coincidence;15:06:12.083:649:760:;
Coincidence;15:06:12.513:292:544:;
Coincidence;15:06:12.843:106:176:;
Coincidence;15:06:12.913:508:224:;
Coincidence;15:06:13.012:655:401:;
Coincidence;15:06:13.535:544:832:;
Coincidence;15:06:14.270:716:032:;
Coincidence;15:06:14.275:732:416:;
Coincidence;15:06:14.407:311:488:;
Coincidence;15:06:14.480:843:872:;
Coincidence;15:06:14.591:466:496:;
Coincidence;15:06:14.934:300:352:;
Coincidence;15:06:15.423:195:584:;
Coincidence;15:06:16.064:400:412:;
Coincidence;15:06:17.560:085:440:;
Coincidence;15:06:17.613:855:936:;
Coincidence;15:06:17.840:305:152:;
Coincidence;15:06:19.347:469:024:;
Coincidence;15:06:19.886:203:904:;
Coincidence;15:06:20.808:603:968:;
Coincidence;15:06:21.234:090:592:;
Coincidence;15:06:21.514:014:720:;
Coincidence;15:06:21.727:859:904:;
Coincidence;15:06:21.863:507:200:;
Coincidence;15:06:21.888:517:824:;
Coincidence;15:06:22.084:109:840:;
Coincidence;15:06:22.992:647:872:;
Coincidence;15:06:23.343:179:168:;
Coincidence;15:06:23.471:609:216:;
Coincidence;15:06:23.622:185:152:;
Coincidence;15:06:24.216:815:632:;
Coincidence;15:06:24.275:660:672:;
Coincidence;15:06:24.866:666:496:;
Coincidence;15:06:24.968:381:568:;
Coincidence;15:06:27.594:285:632:;
Coincidence;15:06:27.922:652:416:;
Coincidence;15:06:28.493:470:912:;
Coincidence;15:06:29.334:298:592:;
Coincidence;15:06:29.484:712:832:;
Coincidence;15:06:30.278:233:472:;
Coincidence;15:06:30.793:524:416:;
Coincidence;15:06:30.898:811:968:;
Coincidence;15:06:31.536:016:576:;
Coincidence;15:06:32.671:090:560:;
Coincidence;15:06:33.097:999:048:;
Coincidence;15:06:34.087:843:752:;
Coincidence;15:06:34.115:932:416:;
Coincidence;15:06:34.175:854:320:;
Coincidence;15:06:34.921:249:344:;
Coincidence;15:06:35.164:928:672:;
Coincidence;15:06:36.035:513:456:;
Coincidence;15:06:36.658:498:112:;
Coincidence;15:06:36.769:509:568:;
Coincidence;15:06:36.881:002:560:;
Coincidence;15:06:37.452:237:728:;
Coincidence;15:06:37.961:422:592:;
Coincidence;15:06:38.016:842:662:;
Coincidence;15:06:38.160:738:768:;
Coincidence;15:06:38.357:079:360:;
Coincidence;15:06:38.502:162:912:;
Coincidence;15:06:38.821:206:656:;
Coincidence;15:06:38.839:564:288:;
Coincidence;15:06:39.488:743:840:;
Coincidence;15:06:39.686:665:024:;
Coincidence;15:06:40.107:614:608:;
Coincidence;15:06:40.109:899:240:;
Coincidence;15:06:40.259:342:016:;
Coincidence;15:06:40.420:105:408:;
Coincidence;15:06:40.621:340:416:;
Coincidence;15:06:41.411:896:064:;
Coincidence;15:06:41.498:221:824:;
Coincidence;15:06:42.890:462:528:;
Coincidence;15:06:43.173:497:488:;
Coincidence;15:06:43.503:212:288:;
Coincidence;15:06:43.682:309:184:;
